X = -4.00 Y = 0.00
X = -3.92 Y = 0.00
X = -3.84 Y = 0.00
X = -3.76 Y = 0.00
X = -3.68 Y = 0.00
X = -3.60 Y = 0.00
X = -3.52 Y = 0.00
X = -3.43 Y = 0.00
X = -3.35 Y = 0.00
X = -3.27 Y = 0.00
X = -3.19 Y = 0.00
X = -3.11 Y = 0.00
X = -3.03 Y = 0.00
X = -2.95 Y = 0.01
X = -2.87 Y = 0.01
X = -2.79 Y = 0.01
X = -2.71 Y = 0.01
X = -2.63 Y = 0.01
X = -2.55 Y = 0.02
X = -2.46 Y = 0.02
X = -2.38 Y = 0.02
X = -2.30 Y = 0.03
X = -2.22 Y = 0.03
X = -2.14 Y = 0.04
X = -2.06 Y = 0.05
X = -1.98 Y = 0.06
X = -1.90 Y = 0.07
X = -1.82 Y = 0.08
X = -1.74 Y = 0.09
X = -1.66 Y = 0.10
X = -1.58 Y = 0.12
X = -1.49 Y = 0.13
X = -1.41 Y = 0.15
X = -1.33 Y = 0.16
X = -1.25 Y = 0.18
X = -1.17 Y = 0.20
X = -1.09 Y = 0.22
X = -1.01 Y = 0.24
X = -0.93 Y = 0.26
X = -0.85 Y = 0.28
X = -0.77 Y = 0.30
X = -0.69 Y = 0.32
X = -0.61 Y = 0.33
X = -0.53 Y = 0.35
X = -0.44 Y = 0.36
X = -0.36 Y = 0.37
X = -0.28 Y = 0.38
X = -0.20 Y = 0.39
X = -0.12 Y = 0.40
X = -0.04 Y = 0.40
X = 0.04 Y = 0.40
X = 0.12 Y = 0.40
X = 0.20 Y = 0.39
X = 0.28 Y = 0.38
X = 0.36 Y = 0.37
X = 0.44 Y = 0.36
X = 0.53 Y = 0.35
X = 0.61 Y = 0.33
X = 0.69 Y = 0.32
X = 0.77 Y = 0.30
X = 0.85 Y = 0.28
X = 0.93 Y = 0.26
X = 1.01 Y = 0.24
X = 1.09 Y = 0.22
X = 1.17 Y = 0.20
X = 1.25 Y = 0.18
X = 1.33 Y = 0.16
X = 1.41 Y = 0.15
X = 1.49 Y = 0.13
X = 1.58 Y = 0.12
X = 1.66 Y = 0.10
X = 1.74 Y = 0.09
X = 1.82 Y = 0.08
X = 1.90 Y = 0.07
X = 1.98 Y = 0.06
X = 2.06 Y = 0.05
X = 2.14 Y = 0.04
X = 2.22 Y = 0.03
X = 2.30 Y = 0.03
X = 2.38 Y = 0.02
X = 2.46 Y = 0.02
X = 2.55 Y = 0.02
X = 2.63 Y = 0.01
X = 2.71 Y = 0.01
X = 2.79 Y = 0.01
X = 2.87 Y = 0.01
X = 2.95 Y = 0.01
X = 3.03 Y = 0.00
X = 3.11 Y = 0.00
X = 3.19 Y = 0.00
X = 3.27 Y = 0.00
X = 3.35 Y = 0.00
X = 3.43 Y = 0.00
X = 3.52 Y = 0.00
X = 3.60 Y = 0.00
X = 3.68 Y = 0.00
X = 3.76 Y = 0.00
X = 3.84 Y = 0.00
X = 3.92 Y = 0.00
X = 4.00 Y = 0.00
